name,cr,type,tag,size,ac,hp,align,legendary,source,str,dex,con,int,wis,cha,can_fly,can_swim,shapechanger
druid,2.0,humanoid,any race,Medium,11,27,any alignment,0,Monster Manual,10.0,12.0,13.0,12.0,15.0,11.0,0,0,0
dryad,1.0,fey,,Medium,11,22,neutral,0,Monster Manual,10.0,12.0,11.0,14.0,15.0,18.0,0,0,0
duergar,1.0,humanoid,dwarf,Medium,16,26,lawful evil,0,Monster Manual,14.0,11.0,14.0,11.0,10.0,9.0,0,0,0
duergar-despot,12.0,humanoid,dwarf,Medium,21,119,lawful evil,0,Mordenkainen's Tome of Foes,20.0,5.0,19.0,15.0,14.0,13.0,0,0,0
duergar-kavalrachni,2.0,humanoid,dwarf,Medium,16,26,lawful evil,0,Mordenkainen's Tome of Foes,14.0,11.0,14.0,11.0,10.0,9.0,0,0,0
duergar-mind-master,2.0,humanoid,dwarf,Medium,14,39,lawful evil,0,Mordenkainen's Tome of Foes,11.0,17.0,14.0,10.0,15.0,12.0,0,0,0
duergar-soulblade,1.0,humanoid,dwarf,Medium,14,18,lawful evil,0,Mordenkainen's Tome of Foes,11.0,16.0,10.0,11.0,10.0,12.0,0,0,0
duergar-stone-guard,2.0,humanoid,dwarf,Medium,18,39,lawful evil,0,Mordenkainen's Tome of Foes,18.0,11.0,14.0,11.0,10.0,9.0,0,0,0
duergar-warlord,6.0,humanoid,dwarf,Medium,20,75,lawful evil,0,Mordenkainen's Tome of Foes,18.0,11.0,17.0,12.0,12.0,14.0,0,0,0
duergar-xarrorn,2.0,humanoid,dwarf,Medium,18,26,lawful evil,0,Mordenkainen's Tome of Foes,16.0,11.0,14.0,11.0,10.0,9.0,0,0,0
duodrone,0.25,construct,,Medium,15,11,lawful neutral,0,Monster Manual,11.0,13.0,12.0,6.0,10.0,7.0,0,0,0
dust-mephit,0.5,elemental,,Small,12,17,neutral evil,0,Monster Manual,5.0,14.0,10.0,9.0,11.0,10.0,1,0,0
dybbuk,4.0,fiend,demon,Medium,14,37,chaotic evil,0,Mordenkainen's Tome of Foes,6.0,19.0,16.0,16.0,15.0,14.0,1,0,0
eagle,0.0,beast,,Small,12,3,unaligned,0,Monster Manual,6.0,15.0,10.0,2.0,14.0,7.0,1,0,0
earth-elemental,5.0,elemental,,Large,17,126,neutral,0,Monster Manual,20.0,8.0,20.0,5.0,10.0,5.0,0,0,0
earth-elemental-myrmidon,7.0,elemental,,Medium,18,127,neutral,0,Mordenkainen's Tome of Foes,18.0,10.0,17.0,8.0,10.0,10.0,0,0,0
eblis,1.0,monstrosity,,Large,13,26,neutral evil,0,Other,11.0,16.0,12.0,12.0,14.0,11.0,1,0,0
efreeti,11.0,elemental,,Large,17,200,lawful evil,0,Monster Manual,22.0,12.0,24.0,16.0,15.0,16.0,1,0,0
eidolon,12.0,undead,,Medium,9,63,any alignment,0,Mordenkainen's Tome of Foes,7.0,8.0,9.0,14.0,19.0,16.0,1,0,0
elder-brain,14.0,aberration,,Large,10,210,lawful evil,1,Volo's Guide to Monsters,15.0,10.0,20.0,21.0,19.0,24.0,0,1,0
elder-oblex,10.0,ooze,,Huge,16,115,lawful evil,0,Mordenkainen's Tome of Foes,15.0,16.0,21.0,22.0,13.0,18.0,0,0,0
elder-tempest,23.0,elemental,,Gargantuan,19,264,neutral,0,Mordenkainen's Tome of Foes,23.0,28.0,23.0,2.0,21.0,18.0,1,0,0
elephant,4.0,beast,,Huge,12,76,unaligned,0,Monster Manual,22.0,9.0,17.0,3.0,11.0,6.0,0,0,0
elk,0.25,beast,,Large,10,13,unaligned,0,Monster Manual,16.0,10.0,12.0,2.0,10.0,6.0,0,0,0
empyrean,23.0,celestial,titan,Huge,22,313,chaotic good ,1,Monster Manual,30.0,21.0,30.0,21.0,22.0,27.0,1,1,0
enchanter,5.0,humanoid,any race,Medium,12,40,any alignment,0,Volo's Guide to Monsters,9.0,14.0,11.0,17.0,12.0,11.0,0,0,0
erinyes,12.0,fiend,devil,Medium,18,153,lawful evil,0,Monster Manual,18.0,16.0,18.0,14.0,14.0,18.0,1,0,0
ettercap,2.0,monstrosity,,Medium,13,44,neutral evil,0,Monster Manual,14.0,15.0,13.0,7.0,12.0,8.0,0,0,0
ettin,4.0,giant,,Large,12,85,chaotic evil,0,Monster Manual,21.0,8.0,17.0,6.0,10.0,8.0,0,0,0
evoker,9.0,humanoid,any race,Medium,12,66,any alignment,0,Volo's Guide to Monsters,9.0,14.0,12.0,17.0,12.0,11.0,0,0,0
faerie-dragon-ROY,1.0,dragon,,Tiny,15,14,chaotic good,0,Monster Manual,3.0,20.0,13.0,14.0,12.0,16.0,1,0,0
faerie-dragon-GBIV,2.0,dragon,,Tiny,15,14,chaotic good,0,Monster Manual,3.0,20.0,13.0,14.0,12.0,16.0,1,0,0
female-steeder,1.0,monstrosity,,Large,14,30,unaligned,0,Mordenkainen's Tome of Foes,15.0,16.0,14.0,2.0,10.0,3.0,0,0,0
fire-elemental,5.0,elemental,,Large,13,102,neutral,0,Monster Manual,10.0,17.0,16.0,6.0,10.0,7.0,0,0,0
fire-elemental-myrmidon,7.0,elemental,,Medium,18,123,neutral,0,Mordenkainen's Tome of Foes,13.0,18.0,15.0,9.0,10.0,10.0,0,0,0
fire-giant,9.0,giant,fire giant,Huge,18,162,lawful evil,0,Monster Manual,25.0,9.0,23.0,10.0,14.0,13.0,0,0,0
fire-giant-dreadnought,14.0,giant,fire giant,Huge,21,187,lawful evil,0,Volo's Guide to Monsters,27.0,9.0,23.0,8.0,10.0,11.0,0,0,0
fire-snake,1.0,elemental,,Medium,14,22,neutral evil,0,Monster Manual,12.0,14.0,11.0,7.0,10.0,8.0,0,0,0
firenewt-warlock-of-imix,1.0,humanoid,firenewt,Medium,10,33,neutral evil,0,Volo's Guide to Monsters,13.0,11.0,12.0,9.0,11.0,14.0,0,0,0
firenewt-warrior,0.5,humanoid,firenewt,Medium,16,22,neutral evil,0,Volo's Guide to Monsters,10.0,13.0,12.0,7.0,11.0,8.0,0,0,0
fist-of-bane,0.5,humanoid,human,Medium,18,22,lawful evil,0,Other,16.0,11.0,13.0,10.0,12.0,11.0,0,0,0
flail-snail,3.0,elemental,,Large,16,52,unaligned,0,Volo's Guide to Monsters,17.0,5.0,20.0,3.0,10.0,5.0,0,0,0
flameskull,4.0,undead,,Tiny,13,40,neutral evil,0,Monster Manual,1.0,17.0,14.0,16.0,10.0,11.0,1,0,0
flesh-golem,5.0,construct,,Medium,9,93,neutral,0,Monster Manual,19.0,9.0,18.0,6.0,10.0,5.0,0,0,0
flind,9.0,humanoid,gnoll,Medium,16,127,chaotic evil,0,Volo's Guide to Monsters,20.0,10.0,19.0,11.0,13.0,12.0,0,0,0
flumph,0.125,aberration,,Small,12,7,lawful good,0,Monster Manual,6.0,15.0,10.0,14.0,14.0,11.0,1,0,0
flying-snake,0.125,beast,,Tiny,14,5,unaligned,0,Monster Manual,4.0,18.0,11.0,2.0,12.0,5.0,1,1,0
flying-sword,0.25,construct,,Small,17,17,unaligned,0,Monster Manual,12.0,15.0,11.0,1.0,5.0,1.0,1,0,0
fomorian,8.0,giant,,Huge,14,149,chaotic evil,0,Monster Manual,23.0,10.0,20.0,9.0,14.0,6.0,0,0,0
frog,0.0,beast,,Tiny,11,1,unaligned,0,Monster Manual,1.0,13.0,8.0,1.0,8.0,3.0,0,1,0
froghemoth,10.0,monstrosity,,Huge,14,184,unaligned,0,Volo's Guide to Monsters,23.0,13.0,20.0,2.0,12.0,5.0,0,1,0
frost-giant,8.0,giant,frost giant,Huge,15,138,neutral evil,0,Monster Manual,23.0,9.0,21.0,9.0,10.0,12.0,0,0,0
frost-giant-everlasting-one,12.0,giant,frost giant,Huge,15,189,chaotic evil,0,Volo's Guide to Monsters,25.0,9.0,24.0,9.0,10.0,12.0,0,0,0
frost-salamander,9.0,elemental,,Huge,17,168,unaligned,0,Mordenkainen's Tome of Foes,20.0,12.0,18.0,7.0,11.0,7.0,0,0,0
galeb-duhr,6.0,elemental,,Medium,16,85,neutral,0,Monster Manual,20.0,14.0,20.0,11.0,12.0,11.0,0,0,0
gargoyle,2.0,elemental,,Medium,15,52,chaotic evil,0,Monster Manual,15.0,11.0,16.0,6.0,11.0,7.0,1,0,0
gas-spore,0.5,plant,,Large,5,1,unaligned,0,Monster Manual,5.0,1.0,3.0,1.0,1.0,1.0,1,0,0
gauth,6.0,aberration,beholderkin,Medium,15,67,lawful evil,0,Volo's Guide to Monsters,10.0,14.0,16.0,15.0,15.0,13.0,1,0,0
gazer,0.5,aberration,beholderkin,Tiny,13,13,neutral evil,0,Volo's Guide to Monsters,3.0,17.0,14.0,3.0,10.0,7.0,1,0,0
gelatinous-cube,2.0,ooze,,Large,6,84,unaligned,0,Monster Manual,14.0,3.0,20.0,1.0,6.0,1.0,0,0,0
ghast,2.0,undead,,Medium,13,36,chaotic evil,0,Monster Manual,16.0,17.0,10.0,11.0,10.0,8.0,0,0,0
ghost,4.0,undead,,Medium,11,45,any alignment,0,Monster Manual,7.0,13.0,10.0,10.0,12.0,17.0,1,0,0
ghoul,1.0,undead,,Medium,12,22,chaotic evil,0,Monster Manual,13.0,15.0,10.0,7.0,10.0,6.0,0,0,0
giant-ape,7.0,beast,,Huge,12,157,unaligned,0,Monster Manual,23.0,14.0,18.0,7.0,12.0,7.0,0,0,0
giant-badger,0.25,beast,,Medium,10,13,unaligned,0,Monster Manual,13.0,10.0,15.0,2.0,12.0,5.0,0,0,0
giant-bat,0.25,beast,,Large,13,22,unaligned,0,Monster Manual,15.0,16.0,11.0,2.0,12.0,6.0,1,0,0
giant-boar,2.0,beast,,Large,12,42,unaligned,0,Monster Manual,17.0,10.0,16.0,2.0,7.0,5.0,0,0,0
giant-centipede,0.25,beast,,Small,13,4,unaligned,0,Monster Manual,5.0,14.0,12.0,1.0,7.0,3.0,0,0,0
giant-constrictor-snake,2.0,beast,,Huge,12,60,unaligned,0,Monster Manual,19.0,14.0,12.0,1.0,10.0,3.0,0,1,0
giant-crab,0.125,beast,,Medium,15,13,unaligned,0,Monster Manual,13.0,15.0,11.0,1.0,9.0,3.0,0,1,0
giant-crocodile,5.0,beast,,Huge,14,85,unaligned,0,Monster Manual,21.0,9.0,17.0,2.0,10.0,7.0,0,1,0
giant-eagle,1.0,beast,,Large,13,26,neutral good,0,Monster Manual,16.0,17.0,13.0,8.0,14.0,10.0,1,0,0
giant-elk,2.0,beast,,Huge,14,42,unaligned,0,Monster Manual,19.0,16.0,14.0,7.0,14.0,10.0,0,0,0
giant-fire-beetle,0.0,beast,,Small,13,4,unaligned,0,Monster Manual,8.0,10.0,12.0,1.0,7.0,3.0,0,0,0
giant-four-armed-gargoyle,10.0,elemental,,Large,17,147,chaotic evil,0,Other,19.0,11.0,20.0,6.0,11.0,9.0,1,0,0
giant-frog,0.25,beast,,Medium,11,18,unaligned,0,Monster Manual,12.0,13.0,11.0,2.0,10.0,3.0,0,1,0
giant-goat,0.5,beast,,Large,11,19,unaligned,0,Monster Manual,17.0,11.0,12.0,3.0,12.0,6.0,0,0,0
giant-hyena,1.0,beast,,Large,12,45,unaligned,0,Monster Manual,16.0,14.0,14.0,2.0,12.0,7.0,0,0,0
giant-lizard,0.25,beast,,Large,12,19,unaligned,0,Monster Manual,15.0,12.0,13.0,2.0,10.0,5.0,0,0,0
giant-octopus,1.0,beast,,Large,11,52,unaligned,0,Monster Manual,17.0,13.0,13.0,4.0,10.0,4.0,0,1,0
giant-owl,0.25,beast,,Large,12,19,neutral,0,Monster Manual,13.0,15.0,12.0,8.0,13.0,10.0,1,0,0
giant-poisonous-snake,0.25,beast,,Medium,14,11,unaligned,0,Monster Manual,10.0,18.0,13.0,2.0,10.0,3.0,0,1,0
giant-rat,0.125,beast,,Small,12,7,unaligned,0,Monster Manual,7.0,15.0,11.0,2.0,10.0,4.0,0,0,0
giant-scorpion,3.0,beast,,Large,15,52,unaligned,0,Monster Manual,15.0,13.0,15.0,1.0,9.0,3.0,0,0,0
giant-sea-horse,0.5,beast,,Large,13,16,unaligned,0,Monster Manual,12.0,15.0,11.0,2.0,12.0,5.0,0,1,0
giant-shark,5.0,beast,,Huge,13,126,unaligned,0,Monster Manual,23.0,11.0,21.0,1.0,10.0,5.0,0,1,0
giant-spider,1.0,beast,,Large,14,26,unaligned,0,Monster Manual,14.0,16.0,12.0,2.0,11.0,4.0,0,0,0
giant-strider,1.0,monstrosity,,Large,14,22,neutral evil,0,Volo's Guide to Monsters,18.0,13.0,14.0,4.0,12.0,6.0,0,0,0
giant-toad,1.0,beast,,Large,11,39,unaligned,0,Monster Manual,15.0,13.0,13.0,2.0,10.0,3.0,0,1,0
giant-two-headed-goat,0.5,beast,,Large,11,19,unaligned,0,Other,17.0,11.0,12.0,3.0,12.0,6.0,0,0,0
giant-vulture,1.0,beast,,Large,10,22,neutral evil,0,Monster Manual,15.0,10.0,15.0,6.0,12.0,7.0,1,0,0
giant-wasp,0.5,beast,,Medium,12,13,unaligned,0,Monster Manual,10.0,14.0,10.0,1.0,10.0,3.0,1,0,0
giant-weasel,0.125,beast,,Medium,13,9,unaligned,0,Monster Manual,11.0,16.0,10.0,4.0,12.0,5.0,0,0,0
giant-wolf-spider,0.25,beast,,Medium,13,11,unaligned,0,Monster Manual,12.0,16.0,13.0,3.0,12.0,4.0,0,0,0
gibbering-mouther,2.0,aberration,,Medium,9,67,neutral,0,Monster Manual,10.0,8.0,16.0,3.0,10.0,6.0,0,1,0
giff,3.0,humanoid,,Medium,16,60,lawful neutral,0,Mordenkainen's Tome of Foes,18.0,14.0,17.0,11.0,12.0,12.0,0,0,0
girallon,4.0,monstrosity,,Large,13,59,unaligned,0,Volo's Guide to Monsters,18.0,16.0,16.0,5.0,12.0,7.0,0,0,0
githyanki-gish,10.0,humanoid,gith,Medium,17,123,lawful evil,0,Mordenkainen's Tome of Foes,17.0,15.0,14.0,16.0,15.0,16.0,0,0,0
githyanki-kith--rak,12.0,humanoid,gith,Medium,18,180,lawful evil,0,Mordenkainen's Tome of Foes,18.0,16.0,17.0,16.0,15.0,17.0,0,0,0
githyanki-knight,8.0,humanoid,gith,Medium,18,91,lawful evil,0,Monster Manual,16.0,14.0,15.0,14.0,14.0,15.0,0,0,0
githyanki-supreme-commander,14.0,humanoid,gith,Medium,18,187,lawful evil,0,Mordenkainen's Tome of Foes,19.0,17.0,18.0,16.0,16.0,18.0,0,0,0
githyanki-warrior,3.0,humanoid,gith,Medium,17,49,lawful evil,0,Monster Manual,15.0,14.0,12.0,13.0,13.0,10.0,0,0,0
githzerai-anarch,16.0,humanoid,gith,Medium,20,144,lawful neutral,0,Mordenkainen's Tome of Foes,16.0,21.0,18.0,18.0,20.0,14.0,1,0,0
githzerai-enlightned,10.0,humanoid,gith,Medium,18,112,lawful neutral,0,Mordenkainen's Tome of Foes,14.0,19.0,16.0,17.0,19.0,13.0,0,0,0
githzerai-monk,2.0,humanoid,gith,Medium,14,38,lawful neutral,0,Monster Manual,12.0,15.0,12.0,13.0,14.0,10.0,0,0,0
githzerai-zerth,6.0,humanoid,gith,Medium,17,84,lawful neutral,0,Monster Manual,13.0,18.0,15.0,16.0,17.0,12.0,0,0,0
glabrezu,9.0,fiend,demon,Large,17,157,chaotic evil,0,Monster Manual,20.0,15.0,21.0,19.0,17.0,16.0,0,0,0
gladiator,5.0,humanoid,any race,Medium,16,112,any alignment,0,Monster Manual,18.0,15.0,16.0,10.0,12.0,15.0,0,0,0
gloom-weaver,9.0,humanoid,elf,Medium,14,104,neutral,0,Mordenkainen's Tome of Foes,11.0,18.0,14.0,15.0,12.0,18.0,0,0,0
gnoll,0.5,humanoid,gnoll,Medium,15,22,chaotic evil,0,Monster Manual,14.0,12.0,11.0,6.0,10.0,7.0,0,0,0
gnoll-fang-of-yeenoghu,4.0,fiend,gnoll,Medium,14,65,chaotic evil,0,Monster Manual,17.0,15.0,15.0,10.0,11.0,13.0,0,0,0
gnoll-flesh-gnawer,1.0,humanoid,gnoll,Medium,14,22,chaotic evil,0,Volo's Guide to Monsters,12.0,14.0,12.0,8.0,10.0,8.0,0,0,0
gnoll-hunter,0.5,humanoid,gnoll,Medium,13,22,chaotic evil,0,Volo's Guide to Monsters,14.0,14.0,12.0,8.0,12.0,8.0,0,0,0
gnoll-pack-lord,2.0,humanoid,gnoll,Medium,15,49,chaotic evil,0,Monster Manual,16.0,14.0,13.0,8.0,11.0,9.0,0,0,0
gnoll-witherling,0.25,undead,,Medium,12,11,chaotic evil,0,Volo's Guide to Monsters,14.0,8.0,12.0,5.0,5.0,5.0,0,0,0
goat,0.0,beast,,Medium,10,4,unaligned,0,Monster Manual,12.0,10.0,11.0,2.0,10.0,5.0,0,0,0
goblin,0.25,humanoid,goblinoid,Small,15,7,neutral evil,0,Monster Manual,8.0,14.0,10.0,10.0,8.0,8.0,0,0,0
goblin-boss,1.0,humanoid,goblinoid,Small,17,21,neutral evil,0,Monster Manual,10.0,14.0,10.0,10.0,8.0,10.0,0,0,0
gold-dragon-wyrmling,3.0,dragon,gold dragon,Medium,17,60,lawful good,0,Monster Manual,19.0,14.0,17.0,14.0,11.0,16.0,1,1,0
gorgon,5.0,monstrosity,,Large,19,114,unaligned,0,Monster Manual,20.0,11.0,18.0,2.0,12.0,7.0,0,0,0
goristro,17.0,fiend,demon,Huge,19,310,chaotic evil,0,Monster Manual,25.0,11.0,25.0,6.0,13.0,14.0,0,0,0
gray-ooze,0.5,ooze,,Medium,8,22,unaligned,0,Monster Manual,12.0,6.0,16.0,1.0,6.0,2.0,0,0,0
gray-render,12.0,monstrosity,,Large,19,189,chaotic neutral,0,Mordenkainen's Tome of Foes,19.0,13.0,20.0,3.0,6.0,8.0,0,0,0
gray-slaad,9.0,aberration,slaad,Medium,18,127,chaotic neutral,0,Monster Manual,17.0,17.0,16.0,13.0,8.0,14.0,0,0,1
green-abishai,15.0,fiend,devil,Medium,18,187,lawful evil,0,Mordenkainen's Tome of Foes,12.0,17.0,16.0,17.0,12.0,19.0,1,0,0
green-dragon-wyrmling,2.0,dragon,green dragon,Medium,17,38,lawful evil,0,Monster Manual,15.0,12.0,13.0,14.0,11.0,13.0,1,1,0
green-hag,3.0,fey,,Medium,17,82,neutral evil,0,Monster Manual,18.0,12.0,16.0,13.0,14.0,14.0,0,0,0
green-slaad,8.0,aberration,slaad,Large,16,127,chaotic neutral,0,Monster Manual,18.0,15.0,16.0,11.0,8.0,12.0,0,0,1
grell,3.0,aberration,,Medium,12,55,neutral evil,0,Monster Manual,15.0,14.0,13.0,12.0,11.0,9.0,1,0,0
grick,2.0,monstrosity,,Medium,14,27,neutral,0,Monster Manual,14.0,14.0,11.0,3.0,14.0,5.0,0,0,0
grick-alpha,7.0,monstrosity,,Large,18,75,neutral,0,Monster Manual,18.0,16.0,15.0,4.0,14.0,9.0,0,0,0
griffon,2.0,monstrosity,,Large,12,59,unaligned,0,Monster Manual,18.0,15.0,16.0,2.0,13.0,8.0,1,0,0
grimlock,0.25,humanoid,,Medium,11,11,neutral evil,0,Monster Manual,16.0,12.0,12.0,9.0,8.0,6.0,0,0,0
grung,0.25,humanoid,grung,Small,12,11,lawful evil,0,Volo's Guide to Monsters,7.0,14.0,15.0,10.0,11.0,10.0,0,0,0
grung-elite-warrior,2.0,humanoid,grung,Small,13,49,lawful evil,0,Volo's Guide to Monsters,7.0,16.0,15.0,10.0,11.0,12.0,0,0,0
grung-wildling,1.0,humanoid,grung,Small,13,27,lawful evil,0,Volo's Guide to Monsters,7.0,16.0,15.0,10.0,15.0,11.0,0,0,0
guard,0.125,humanoid,any race,Medium,16,11,any alignment,0,Monster Manual,13.0,12.0,12.0,10.0,11.0,10.0,0,0,0
guard-drake,2.0,dragon,,Medium,14,52,unaligned,0,Volo's Guide to Monsters,16.0,11.0,16.0,4.0,10.0,7.0,0,0,0
guardian-naga,10.0,monstrosity,,Large,18,127,lawful good,0,Monster Manual,19.0,18.0,16.0,16.0,19.0,18.0,0,0,0
gynosphinx,11.0,monstrosity,,Large,17,136,lawful neutral,1,Monster Manual,18.0,15.0,16.0,18.0,18.0,18.0,1,0,0
half-ogre,1.0,giant,,Large,12,30,any chaotic alignment,0,Monster Manual,17.0,10.0,14.0,7.0,9.0,10.0,0,0,0
half-red-dragon-veteran,5.0,humanoid,red dragon,Medium,18,65,any alignment,0,Monster Manual,16.0,13.0,14.0,10.0,11.0,10.0,0,0,0
harpy,1.0,monstrosity,,Medium,11,38,chaotic evil,0,Monster Manual,12.0,13.0,12.0,7.0,10.0,13.0,1,0,0
hawk,0.0,beast,,Tiny,13,1,unaligned,0,Monster Manual,5.0,16.0,8.0,2.0,14.0,6.0,1,0,0
hell-hound,3.0,fiend,,Medium,15,45,lawful evil,0,Monster Manual,17.0,12.0,14.0,6.0,13.0,6.0,0,0,0
hellfire-engine,16.0,construct,,Huge,18,216,lawful evil,0,Mordenkainen's Tome of Foes,20.0,16.0,24.0,2.0,10.0,1.0,0,0,0
hellwasp,5.0,fiend,,Large,19,52,lawful evil,0,Other,18.0,15.0,12.0,10.0,10.0,7.0,1,0,0
helmed-horror,4.0,construct,,Medium,20,60,neutral,0,Monster Manual,18.0,13.0,16.0,10.0,10.0,10.0,1,0,0
hezrou,8.0,fiend,demon,Large,16,136,chaotic evil,0,Monster Manual,19.0,17.0,20.0,5.0,12.0,13.0,0,0,0
hill-giant,5.0,giant,hill giant,Huge,13,105,chaotic evil,0,Monster Manual,21.0,8.0,19.0,5.0,9.0,6.0,0,0,0
hippogriff,1.0,monstrosity,,Large,11,19,unaligned,0,Monster Manual,17.0,13.0,13.0,2.0,12.0,8.0,1,0,0
hobgoblin,0.5,humanoid,goblinoid,Medium,18,11,lawful evil,0,Monster Manual,13.0,12.0,12.0,10.0,10.0,9.0,0,0,0
hobgoblin-captain,3.0,humanoid,goblinoid,Medium,17,39,lawful evil,0,Monster Manual,15.0,14.0,14.0,12.0,10.0,13.0,0,0,0
hobgoblin-devastator,4.0,humanoid,goblinoid,Medium,13,45,lawful evil,0,Volo's Guide to Monsters,13.0,12.0,14.0,16.0,13.0,11.0,0,0,0
hobgoblin-iron-shadow,2.0,humanoid,goblinoid,Medium,15,32,lawful evil,0,Volo's Guide to Monsters,14.0,16.0,15.0,14.0,15.0,11.0,0,0,0
hobgoblin-warlord,6.0,humanoid,goblinoid,Medium,20,97,lawful evil,0,Monster Manual,16.0,14.0,16.0,14.0,11.0,15.0,0,0,0
homunculus,0.0,construct,,Tiny,13,5,neutral,0,Monster Manual,4.0,15.0,11.0,10.0,10.0,7.0,1,0,0
hook-horror,3.0,monstrosity,,Large,15,75,neutral,0,Monster Manual,18.0,10.0,15.0,6.0,12.0,7.0,0,0,0
horned-devil,11.0,fiend,devil,Large,18,178,lawful evil,0,Monster Manual,22.0,17.0,21.0,12.0,16.0,17.0,1,0,0
howler,8.0,fiend,,Large,16,90,chaotic evil,0,Mordenkainen's Tome of Foes,17.0,16.0,15.0,5.0,20.0,6.0,0,0,0
hulking-crab,5.0,beast,,Huge,17,76,unaligned,0,Other,19.0,8.0,16.0,3.0,11.0,3.0,0,1,0
hunter-shark,2.0,beast,,Large,12,45,unaligned,0,Monster Manual,18.0,13.0,15.0,1.0,10.0,4.0,0,1,0
hydra,8.0,monstrosity,,Huge,15,172,unaligned,0,Monster Manual,20.0,12.0,20.0,2.0,10.0,7.0,0,1,0
hydroloth,9.0,fiend,yugoloth,Medium,15,135,neutral evil,0,Mordenkainen's Tome of Foes,12.0,21.0,16.0,19.0,10.0,14.0,0,1,0
hyena,0.0,beast,,Medium,11,5,unaligned,0,Monster Manual,11.0,13.0,12.0,2.0,12.0,5.0,0,0,0
ice-devil,14.0,fiend,devil,Large,18,180,lawful evil,0,Monster Manual,21.0,14.0,18.0,18.0,15.0,18.0,0,0,0
ice-mephit,0.5,elemental,,Small,11,21,neutral evil,0,Monster Manual,7.0,13.0,10.0,9.0,11.0,12.0,1,0,0
ice-toad,1.0,monstrosity,,Medium,12,32,neutral,0,Other,13.0,10.0,14.0,8.0,10.0,6.0,0,1,0
illusionist,3.0,humanoid,any race,Medium,12,38,any alignment,0,Volo's Guide to Monsters,9.0,14.0,13.0,16.0,11.0,12.0,0,0,0
imp,1.0,fiend,devil,Tiny,13,10,lawful evil,0,Monster Manual,6.0,17.0,13.0,11.0,12.0,14.0,1,0,1
intellect-devourer,2.0,aberration,,Tiny,12,21,lawful evil,0,Monster Manual,6.0,14.0,13.0,12.0,11.0,10.0,0,0,0
invisible-stalker,6.0,elemental,,Medium,14,104,neutral,0,Monster Manual,16.0,19.0,14.0,10.0,15.0,11.0,1,0,0
iron-cobra,4.0,construct,,Medium,13,45,unaligned,0,Mordenkainen's Tome of Foes,12.0,16.0,14.0,3.0,10.0,1.0,0,0,0
iron-consul,2.0,humanoid,human,Medium,16,45,lawful evil,0,Other,17.0,11.0,16.0,12.0,15.0,16.0,0,0,0
iron-golem,16.0,construct,,Large,20,210,unaligned,0,Monster Manual,24.0,9.0,20.0,3.0,11.0,1.0,0,0,0
jackal,0.0,beast,,Small,12,3,unaligned,0,Monster Manual,8.0,15.0,11.0,3.0,12.0,6.0,0,0,0
jackalwere,0.5,humanoid,,Medium,12,18,chaotic evil,0,Monster Manual,11.0,15.0,11.0,13.0,11.0,10.0,0,0,1
jaculi,0.5,beast,,Large,14,16,unaligned,0,Other,15.0,14.0,11.0,2.0,8.0,3.0,0,0,0
jarlaxle-baenre,15.0,humanoid,elf,Medium,24,123,chaotic neutral,0,Other,,,,,,,0,0,0
kamadan,4.0,monstrosity,,Large,13,67,unaligned,0,Other,16.0,16.0,14.0,3.0,14.0,10.0,0,0,0
kenku,0.25,humanoid,,Medium,13,13,chaotic neutral,0,Monster Manual,10.0,16.0,10.0,11.0,10.0,10.0,0,0,0
ki-rin,12.0,celestial,,Huge,20,152,lawful good,1,Volo's Guide to Monsters,21.0,16.0,16.0,19.0,20.0,20.0,1,0,0
killer-whale,3.0,beast,,Huge,12,90,unaligned,0,Monster Manual,19.0,10.0,13.0,3.0,12.0,7.0,0,1,0
knight,3.0,humanoid,any race,Medium,18,52,any alignment,0,Monster Manual,16.0,11.0,14.0,11.0,11.0,15.0,0,0,0
kobold,0.125,humanoid,kobold,Small,12,5,lawful evil,0,Monster Manual,7.0,15.0,9.0,8.0,7.0,8.0,0,0,0
kobold-dragonshield,1.0,humanoid,kobold,Small,15,44,lawful evil,0,Volo's Guide to Monsters,12.0,15.0,14.0,8.0,9.0,10.0,0,0,0
kobold-inventor,0.25,humanoid,kobold,Small,12,13,lawful evil,0,Volo's Guide to Monsters,7.0,15.0,12.0,8.0,7.0,8.0,0,0,0
kobold-scale-sorcerer,1.0,humanoid,kobold,Small,15,27,lawful evil,0,Volo's Guide to Monsters,7.0,15.0,14.0,10.0,9.0,14.0,0,0,0
korred,7.0,fey,,Small,17,102,chaotic neutral,0,Volo's Guide to Monsters,23.0,14.0,20.0,10.0,15.0,9.0,0,0,0
kraken,23.0,monstrosity,titan,Gargantuan,18,472,chaotic evil,1,Monster Manual,30.0,11.0,25.0,22.0,18.0,20.0,0,1,0
kraken-priest,5.0,humanoid,any race,Medium,10,75,any evil alignment,0,Volo's Guide to Monsters,12.0,10.0,16.0,10.0,15.0,14.0,0,1,0
kruthik-hive-lord,5.0,monstrosity,,Large,20,102,unaligned,0,Mordenkainen's Tome of Foes,19.0,16.0,17.0,10.0,14.0,10.0,0,0,0
kuo-toa,0.25,humanoid,kuo-toa,Medium,13,18,neutral evil,0,Monster Manual,13.0,10.0,11.0,11.0,10.0,8.0,0,1,0
kuo-toa-archpriest,6.0,humanoid,kuo-toa,Medium,13,97,neutral evil,0,Monster Manual,16.0,14.0,16.0,13.0,16.0,14.0,0,1,0
